Numero de documentos (tweets) del corpus :15398
Número de palabras del corpus:195855
Palabra:agreement Frec:7 LogProb:-10.19282138508081
Palabra:agreements Frec:2 LogProb:-11.173650638092537
Palabra:agrees Frec:3 LogProb:-10.885968565640756
Palabra:agricultural Frec:23 LogProb:-9.094209096412701
Palabra:agriculture Frec:37 LogProb:-8.63467676703426
Palabra:ahead Frec:55 LogProb:-8.246911236025497
Palabra:aid Frec:30 LogProb:-8.838275722275501
Palabra:aides Frec:2 LogProb:-11.173650638092537
Palabra:aiding Frec:4 LogProb:-10.662825014326547
Palabra:aids Frec:3 LogProb:-10.885968565640756
Palabra:aim Frec:8 LogProb:-10.075038349424426
Palabra:aimed Frec:4 LogProb:-10.662825014326547
Palabra:aiming Frec:3 LogProb:-10.885968565640756
Palabra:aims Frec:5 LogProb:-10.480503457532592
Palabra:air Frec:43 LogProb:-8.488073292842385
Palabra:airborne Frec:5 LogProb:-10.480503457532592
Palabra:airfare Frec:2 LogProb:-11.173650638092537
Palabra:airline Frec:11 LogProb:-9.787356276972647
Palabra:airlines Frec:24 LogProb:-9.053387101892445
Palabra:airport Frec:8 LogProb:-10.075038349424426
Palabra:airports Frec:2 LogProb:-11.173650638092537
Palabra:airways Frec:5 LogProb:-10.480503457532592
Palabra:aisle Frec:60 LogProb:-8.161389062587336
Palabra:aisles Frec:49 LogProb:-8.3602399213325
Palabra:aka Frec:6 LogProb:-10.326352777705333
Palabra:alarm Frec:8 LogProb:-10.075038349424426
Palabra:alarmed Frec:2 LogProb:-11.173650638092537
Palabra:alarming Frec:6 LogProb:-10.326352777705333
Palabra:alas Frec:2 LogProb:-11.173650638092537
Palabra:albeit Frec:2 LogProb:-11.173650638092537
Palabra:alcohol Frec:68 LogProb:-8.038156422163386
Palabra:alert Frec:60 LogProb:-8.161389062587336
Palabra:alerted Frec:2 LogProb:-11.173650638092537
Palabra:alerts Frec:6 LogProb:-10.326352777705333
Palabra:algorithms Frec:2 LogProb:-11.173650638092537
Palabra:alien Frec:2 LogProb:-11.173650638092537
Palabra:aliens Frec:4 LogProb:-10.662825014326547
Palabra:alight Frec:2 LogProb:-11.173650638092537
Palabra:alike Frec:6 LogProb:-10.326352777705333
Palabra:alive Frec:15 LogProb:-9.499674204520865
Palabra:allegations Frec:8 LogProb:-10.075038349424426
Palabra:alleged Frec:9 LogProb:-9.9696778337666
Palabra:allegedly Frec:35 LogProb:-8.688743988304537
Palabra:alleging Frec:5 LogProb:-10.480503457532592
