Numero de documentos (tweets) del corpus :15398
Número de palabras del corpus:378146
Palabra:new Frec:597 LogProb:-6.56479380530746
Palabra:next Frec:229 LogProb:-7.5203052503348955
Palabra:nine Frec:10 LogProb:-10.56048928645972
Palabra:nobody Frec:40 LogProb:-9.244812492553784
Palabra:non Frec:46 LogProb:-9.108236957548034
Palabra:none Frec:34 LogProb:-9.403036497768678
Palabra:nor Frec:20 LogProb:-9.913862121534669
Palabra:normally Frec:35 LogProb:-9.37486562080198
Palabra:not Frec:1978 LogProb:-5.368037613655526
Palabra:nothing Frec:163 LogProb:-7.858518131433892
Palabra:novel Frec:28 LogProb:-9.591088729271616
Palabra:now Frec:1174 LogProb:-5.889361132679832
Palabra:nowhere Frec:24 LogProb:-9.73950873438989
Palabra:obviously Frec:19 LogProb:-9.9626522857041
Palabra:off Frec:337 LogProb:-7.135338663775072
Palabra:often Frec:40 LogProb:-9.244812492553784
Palabra:okay Frec:25 LogProb:-9.70028802123661
Palabra:old Frec:131 LogProb:-8.07558263667172
Palabra:once Frec:112 LogProb:-8.23099674054575
Palabra:one Frec:762 LogProb:-6.321126527973634
Palabra:ones Frec:73 LogProb:-8.65431946605392
Palabra:only Frec:611 LogProb:-6.541652276745765
Palabra:onto Frec:15 LogProb:-10.18579583701831
Palabra:other Frec:587 LogProb:-6.581657611359464
Palabra:others Frec:215 LogProb:-7.583106151573926
Palabra:otherwise Frec:28 LogProb:-9.591088729271616
Palabra:our Frec:1110 LogProb:-5.945368769618461
Palabra:ourselves Frec:15 LogProb:-10.18579583701831
Palabra:out Frec:1413 LogProb:-5.704206712801573
Palabra:outside Frec:112 LogProb:-8.23099674054575
Palabra:over Frec:686 LogProb:-6.426050267035742
Palabra:overall Frec:18 LogProb:-10.01394558009165
Palabra:own Frec:138 LogProb:-8.0239106261274
Palabra:particular Frec:13 LogProb:-10.319327229642832
Palabra:particularly Frec:30 LogProb:-9.524397354772944
Palabra:per Frec:178 LogProb:-7.770998753417336
Palabra:perhaps Frec:30 LogProb:-9.524397354772944
Palabra:placed Frec:16 LogProb:-10.125171215201874
Palabra:please Frec:423 LogProb:-6.908651104026133
Palabra:plus Frec:45 LogProb:-9.129743162768996
Palabra:possible Frec:96 LogProb:-8.383673580754708
Palabra:probably Frec:80 LogProb:-8.563935404585653
Palabra:provides Frec:18 LogProb:-10.01394558009165
Palabra:que Frec:5 LogProb:-11.166625090030037
Palabra:quite Frec:29 LogProb:-9.557187177595935
Palabra:rather Frec:66 LogProb:-8.753691939867124
Palabra:really Frec:287 LogProb:-7.295424079122145
Palabra:regarding Frec:43 LogProb:-9.17419492533983
Palabra:regardless Frec:9 LogProb:-10.655799466264046
Palabra:relatively Frec:14 LogProb:-10.25033435815588
Palabra:right Frec:318 LogProb:-7.193193456473247
Palabra:said Frec:319 LogProb:-7.190063563464319
Palabra:same Frec:191 LogProb:-7.70088918723031
Palabra:saw Frec:98 LogProb:-8.363264709123502
Palabra:say Frec:273 LogProb:-7.345256452870021
Palabra:saying Frec:115 LogProb:-8.204794368151727
Palabra:says Frec:313 LogProb:-7.208991573349838
Palabra:second Frec:49 LogProb:-9.046361553829945
Palabra:see Frec:460 LogProb:-6.8249865162614425
Palabra:seeing Frec:155 LogProb:-7.908528552008554
Palabra:seem Frec:30 LogProb:-9.524397354772944
