Numero de documentos (tweets) del corpus :18046
Número de palabras del corpus:448794
Palabra:que Frec:7 LogProb:-11.03292806392778
Palabra:quite Frec:37 LogProb:-9.474783445881231
Palabra:rather Frec:70 LogProb:-8.8496897285663
Palabra:really Frec:312 LogProb:-7.366166415067464
Palabra:regarding Frec:73 LogProb:-8.808304512403446
Palabra:regardless Frec:6 LogProb:-11.166459456552303
Palabra:regards Frec:15 LogProb:-10.339780883367835
Palabra:relatively Frec:7 LogProb:-11.03292806392778
Palabra:respectively Frec:9 LogProb:-10.809784512613572
Palabra:right Frec:420 LogProb:-7.0697367719252355
Palabra:said Frec:303 LogProb:-7.395341904201395
Palabra:same Frec:216 LogProb:-7.732472252067157
Palabra:saw Frec:108 LogProb:-8.421021723378473
Palabra:say Frec:285 LogProb:-7.456377794787764
Palabra:saying Frec:94 LogProb:-8.558492714007077
Palabra:says Frec:255 LogProb:-7.567192161128054
Palabra:second Frec:61 LogProb:-8.985235220562526
Palabra:see Frec:632 LogProb:-6.661899183463441
Palabra:seeing Frec:153 LogProb:-8.075417003193987
Palabra:seem Frec:49 LogProb:-9.20034660017947
Palabra:seemed Frec:7 LogProb:-11.03292806392778
Palabra:seems Frec:71 LogProb:-8.835703486591562
Palabra:seen Frec:174 LogProb:-7.947583631684102
Palabra:self Frec:143 LogProb:-8.142556306031615
Palabra:sensible Frec:16 LogProb:-10.2791562615514
Palabra:sent Frec:44 LogProb:-9.305707115837297
Palabra:serious Frec:55 LogProb:-9.087017914872467
Palabra:seriously Frec:62 LogProb:-8.969234879216085
Palabra:seven Frec:10 LogProb:-10.714474332809246
Palabra:several Frec:55 LogProb:-9.087017914872467
Palabra:shall Frec:28 LogProb:-9.745073775621142
Palabra:she Frec:276 LogProb:-7.488352099420278
Palabra:she's Frec:19 LogProb:-10.116637332053626
Palabra:should Frec:623 LogProb:-6.676219237238189
Palabra:shouldn't Frec:22 LogProb:-9.976875389678467
Palabra:since Frec:255 LogProb:-7.567192161128054
Palabra:six Frec:36 LogProb:-9.501451692963393
Palabra:some Frec:1047 LogProb:-6.157730740726629
Palabra:somebody Frec:13 LogProb:-10.473312275992358
Palabra:somehow Frec:11 LogProb:-10.627462955819617
Palabra:someone Frec:206 LogProb:-7.779650812342248
Palabra:something Frec:169 LogProb:-7.976571168557355
Palabra:sometimes Frec:27 LogProb:-9.780165095432412
Palabra:somewhat Frec:9 LogProb:-10.809784512613572
Palabra:somewhere Frec:14 LogProb:-10.404319404505406
Palabra:soon Frec:137 LogProb:-8.18511592045041
Palabra:sorry Frec:38 LogProb:-9.448807959477971
Palabra:still Frec:607 LogProb:-6.702194723641449
Palabra:sub Frec:5 LogProb:-11.320610136379562
Palabra:such Frec:212 LogProb:-7.751077439898191
Palabra:sure Frec:326 LogProb:-7.322409434710363
Palabra:take Frec:575 LogProb:-6.756261944911725
Palabra:taken Frec:103 LogProb:-8.467978706466244
Palabra:tell Frec:125 LogProb:-8.276087698656138
Palabra:than Frec:649 LogProb:-6.635397242717934
Palabra:thank Frec:803 LogProb:-6.42277033642865
Palabra:thanks Frec:376 LogProb:-7.180124418159606
Palabra:that Frec:2964 LogProb:-5.117737294175791
Palabra:that's Frec:95 LogProb:-8.54802141413978
Palabra:thats Frec:9 LogProb:-10.809784512613572
Palabra:the Frec:20125 LogProb:-3.2026018151143383
Palabra:their Frec:1535 LogProb:-5.775432691899999
Palabra:theirs Frec:6 LogProb:-11.166459456552303
Palabra:them Frec:767 LogProb:-6.468579872459944
Palabra:themselves Frec:100 LogProb:-8.497249088766356
Palabra:then Frec:305 LogProb:-7.388784503655236
Palabra:there Frec:835 LogProb:-6.383740992522915
Palabra:there's Frec:78 LogProb:-8.742921753140596
Palabra:therefore Frec:10 LogProb:-10.714474332809246
Palabra:theres Frec:5 LogProb:-11.320610136379562
Palabra:these Frec:727 LogProb:-6.522068557410931
Palabra:they Frec:1712 LogProb:-5.666368107283497
Palabra:they'll Frec:15 LogProb:-10.339780883367835
Palabra:they're Frec:80 LogProb:-8.717920450935178
Palabra:they've Frec:25 LogProb:-9.854273067586135
Palabra:think Frec:412 LogProb:-7.0889220126465835
Palabra:third Frec:18 LogProb:-10.167930626441176
Palabra:this Frec:3773 LogProb:-4.876478879679121
Palabra:thoroughly Frec:10 LogProb:-10.714474332809246
Palabra:those Frec:643 LogProb:-6.644670879503263
Palabra:though Frec:82 LogProb:-8.693528997811018
Palabra:three Frec:89 LogProb:-8.612559935277352
Palabra:through Frec:391 LogProb:-7.1411077658171545
Palabra:throughout Frec:47 LogProb:-9.241168594699726
Palabra:thru Frec:27 LogProb:-9.780165095432412
Palabra:thus Frec:15 LogProb:-10.339780883367835
Palabra:together Frec:235 LogProb:-7.648537800582006
Palabra:too Frec:334 LogProb:-7.29823907378255
Palabra:took Frec:82 LogProb:-8.693528997811018
Palabra:toward Frec:27 LogProb:-9.780165095432412
Palabra:towards Frec:48 LogProb:-9.22054930749699
Palabra:tried Frec:34 LogProb:-9.557021544118204
Palabra:truly Frec:53 LogProb:-9.123385559043342
Palabra:try Frec:137 LogProb:-8.18511592045041
Palabra:trying Frec:195 LogProb:-7.8342549463771
Palabra:twice Frec:17 LogProb:-10.221997847711453
Palabra:two Frec:251 LogProb:-7.582940518096193
Palabra:under Frec:167 LogProb:-7.988405626204358
Palabra:unfortunately Frec:15 LogProb:-10.339780883367835
Palabra:unless Frec:48 LogProb:-9.22054930749699
Palabra:unlikely Frec:15 LogProb:-10.339780883367835
Palabra:until Frec:152 LogProb:-8.081931684215181
Palabra:upon Frec:22 LogProb:-9.976875389678467
Palabra:use Frec:558 LogProb:-6.7862201324525175
Palabra:used Frec:138 LogProb:-8.177895672476925
Palabra:useful Frec:54 LogProb:-9.105036420375146
Palabra:uses Frec:24 LogProb:-9.893493780739416
Palabra:using Frec:211 LogProb:-7.755783330935604
Palabra:usually Frec:41 LogProb:-9.374699987324249
Palabra:value Frec:88 LogProb:-8.623733235875477
Palabra:various Frec:24 LogProb:-9.893493780739416
Palabra:very Frec:340 LogProb:-7.2804871283241
Palabra:via Frec:514 LogProb:-6.86820270494388
Palabra:want Frec:451 LogProb:-6.998687425775385
Palabra:wants Frec:54 LogProb:-9.105036420375146
Palabra:was Frec:957 LogProb:-6.247521827636756
Palabra:wasn't Frec:23 LogProb:-9.934315775259671
Palabra:way Frec:477 LogProb:-6.94275887311616
Palabra:we'd Frec:11 LogProb:-10.627462955819617
Palabra:we'll Frec:43 LogProb:-9.328179971689355
Palabra:we're Frec:169 LogProb:-7.976571168557355
Palabra:we've Frec:65 LogProb:-8.922714863581191
Palabra:welcome Frec:47 LogProb:-9.241168594699726
Palabra:well Frec:495 LogProb:-6.905793678882689
Palabra:went Frec:266 LogProb:-7.525120947207367
Palabra:were Frec:359 LogProb:-7.226265574157461
Palabra:what Frec:1166 LogProb:-6.050177973321061
Palabra:what's Frec:48 LogProb:-9.22054930749699
Palabra:whatever Frec:31 LogProb:-9.64663370280789
Palabra:when Frec:1074 LogProb:-6.132293665045854
Palabra:whenever Frec:15 LogProb:-10.339780883367835
Palabra:where Frec:352 LogProb:-7.24590154867432
Palabra:whereas Frec:5 LogProb:-11.320610136379562
Palabra:wherever Frec:7 LogProb:-11.03292806392778
Palabra:whether Frec:58 LogProb:-9.034832161701896
Palabra:which Frec:380 LogProb:-7.1695702304809155
Palabra:while Frec:536 LogProb:-6.826371511098752
Palabra:who Frec:1280 LogProb:-5.956973303710883
Palabra:who's Frec:19 LogProb:-10.116637332053626
Palabra:whoever Frec:17 LogProb:-10.221997847711453
Palabra:whole Frec:112 LogProb:-8.384981786895276
Palabra:whom Frec:15 LogProb:-10.339780883367835
Palabra:whose Frec:22 LogProb:-9.976875389678467
Palabra:why Frec:438 LogProb:-7.027870192532445
Palabra:will Frec:2088 LogProb:-5.467928844051051
Palabra:willing Frec:27 LogProb:-9.780165095432412
Palabra:wish Frec:94 LogProb:-8.558492714007077
Palabra:with Frec:3163 LogProb:-5.052777276720072
Palabra:within Frec:59 LogProb:-9.018025043385517
Palabra:without Frec:231 LogProb:-7.665632233941307
Palabra:won't Frec:131 LogProb:-8.229567683021246
Palabra:wonder Frec:48 LogProb:-9.22054930749699
Palabra:would Frec:591 LogProb:-6.728862970723611
Palabra:wouldn't Frec:16 LogProb:-10.2791562615514
Palabra:y'all Frec:34 LogProb:-9.557021544118204
Palabra:yes Frec:158 LogProb:-8.043465403387385
Palabra:yet Frec:123 LogProb:-8.292088040002579
Palabra:you Frec:5148 LogProb:-4.565811805561475
Palabra:you'd Frec:7 LogProb:-11.03292806392778
Palabra:you'll Frec:32 LogProb:-9.615862044141137
Palabra:you're Frec:144 LogProb:-8.135635863187042
Palabra:you've Frec:26 LogProb:-9.816532739603288
Palabra:your Frec:2747 LogProb:-5.193740952265377
Palabra:yours Frec:24 LogProb:-9.893493780739416
Palabra:yourself Frec:188 LogProb:-7.870622590547974
Palabra:yourselves Frec:17 LogProb:-10.221997847711453
Palabra:zero Frec:35 LogProb:-9.528850667151506
