Numero de documentos (tweets) del corpus :18046
Número de palabras del corpus:223478
Palabra:alike Frec:8 LogProb:-10.196608971550685
Palabra:alive Frec:36 LogProb:-8.78291563624268
Palabra:alkaline Frec:2 LogProb:-11.295221260218796
Palabra:allegedly Frec:7 LogProb:-10.314392007207069
Palabra:allergies Frec:5 LogProb:-10.60207407965885
Palabra:allergy Frec:2 LogProb:-11.295221260218796
Palabra:alleviate Frec:9 LogProb:-10.09124845589286
Palabra:alliance Frec:2 LogProb:-11.295221260218796
Palabra:allied Frec:2 LogProb:-11.295221260218796
Palabra:allocate Frec:3 LogProb:-11.007539187767014
Palabra:allocated Frec:8 LogProb:-10.196608971550685
Palabra:allowance Frec:2 LogProb:-11.295221260218796
Palabra:allowed Frec:84 LogProb:-7.951182292396588
Palabra:allowing Frec:48 LogProb:-8.502013250776278
Palabra:almond Frec:5 LogProb:-10.60207407965885
Palabra:aloe Frec:16 LogProb:-9.560620204830688
Palabra:alongside Frec:8 LogProb:-10.196608971550685
Palabra:alpha Frec:2 LogProb:-11.295221260218796
Palabra:alphabet Frec:4 LogProb:-10.784395636452805
Palabra:alright Frec:5 LogProb:-10.60207407965885
Palabra:alter Frec:2 LogProb:-11.295221260218796
Palabra:altered Frec:4 LogProb:-10.784395636452805
Palabra:altering Frec:5 LogProb:-10.60207407965885
Palabra:alternate Frec:6 LogProb:-10.447923399831591
Palabra:alternative Frec:24 LogProb:-9.174957724018704
Palabra:alternatively Frec:2 LogProb:-11.295221260218796
Palabra:alternatives Frec:8 LogProb:-10.196608971550685
Palabra:altruistic Frec:2 LogProb:-11.295221260218796
Palabra:amateur Frec:2 LogProb:-11.295221260218796
Palabra:amazed Frec:7 LogProb:-10.314392007207069
Palabra:amazes Frec:3 LogProb:-11.007539187767014
Palabra:amazing Frec:134 LogProb:-7.488558770448475
Palabra:amazon Frec:196 LogProb:-7.110629820148916
Palabra:ambassador Frec:4 LogProb:-10.784395636452805
Palabra:amber Frec:2 LogProb:-11.295221260218796
Palabra:ambulance Frec:19 LogProb:-9.398101275332914
Palabra:amen Frec:7 LogProb:-10.314392007207069
Palabra:amend Frec:3 LogProb:-11.007539187767014
Palabra:amendment Frec:3 LogProb:-11.007539187767014
Palabra:amendments Frec:2 LogProb:-11.295221260218796
Palabra:amenities Frec:2 LogProb:-11.295221260218796
Palabra:amid Frec:307 LogProb:-6.663733765913331
