Numero de documentos (tweets) del corpus :15398
Número de palabras del corpus:195855
Palabra:affecting Frec:33 LogProb:-8.745902402144484
Palabra:affects Frec:10 LogProb:-9.874367653962276
Palabra:affiliate Frec:1 LogProb:-11.579115746200701
Palabra:afford Frec:90 LogProb:-7.761403420243797
Palabra:affordable Frec:21 LogProb:-9.18122047340233
Palabra:afloat Frec:7 LogProb:-10.19282138508081
Palabra:afraid Frec:23 LogProb:-9.094209096412701
Palabra:aftermath Frec:12 LogProb:-9.70731356929911
Palabra:afternoon Frec:23 LogProb:-9.094209096412701
Palabra:age Frec:37 LogProb:-8.63467676703426
Palabra:aged Frec:4 LogProb:-10.662825014326547
Palabra:agencies Frec:20 LogProb:-9.227740489037224
Palabra:agency Frec:14 LogProb:-9.564212725658436
Palabra:agenda Frec:5 LogProb:-10.480503457532592
Palabra:agent Frec:7 LogProb:-10.19282138508081
Palabra:agents Frec:8 LogProb:-10.075038349424426
Palabra:ages Frec:2 LogProb:-11.173650638092537
Palabra:aggressive Frec:12 LogProb:-9.70731356929911
Palabra:aggressively Frec:6 LogProb:-10.326352777705333
Palabra:ago Frec:81 LogProb:-7.865543679496393
Palabra:agree Frec:44 LogProb:-8.465600436990327
Palabra:agreed Frec:21 LogProb:-9.18122047340233
Palabra:agreement Frec:7 LogProb:-10.19282138508081
Palabra:agreements Frec:2 LogProb:-11.173650638092537
Palabra:agrees Frec:3 LogProb:-10.885968565640756
Palabra:agricultural Frec:23 LogProb:-9.094209096412701
Palabra:agriculture Frec:37 LogProb:-8.63467676703426
Palabra:ahead Frec:55 LogProb:-8.246911236025497
Palabra:aid Frec:30 LogProb:-8.838275722275501
Palabra:aides Frec:2 LogProb:-11.173650638092537
Palabra:aiding Frec:4 LogProb:-10.662825014326547
Palabra:aids Frec:3 LogProb:-10.885968565640756
Palabra:aim Frec:8 LogProb:-10.075038349424426
Palabra:aimed Frec:4 LogProb:-10.662825014326547
Palabra:aiming Frec:3 LogProb:-10.885968565640756
Palabra:aims Frec:5 LogProb:-10.480503457532592
Palabra:air Frec:43 LogProb:-8.488073292842385
Palabra:airborne Frec:5 LogProb:-10.480503457532592
Palabra:airline Frec:11 LogProb:-9.787356276972647
Palabra:airlines Frec:24 LogProb:-9.053387101892445
Palabra:airport Frec:8 LogProb:-10.075038349424426
Palabra:airports Frec:2 LogProb:-11.173650638092537
Palabra:airways Frec:5 LogProb:-10.480503457532592
Palabra:aisle Frec:60 LogProb:-8.161389062587336
Palabra:aisles Frec:49 LogProb:-8.3602399213325
Palabra:aka Frec:6 LogProb:-10.326352777705333
Palabra:alarm Frec:8 LogProb:-10.075038349424426
Palabra:alarming Frec:6 LogProb:-10.326352777705333
Palabra:alcohol Frec:68 LogProb:-8.038156422163386
Palabra:alcoholic Frec:1 LogProb:-11.579115746200701
Palabra:alert Frec:60 LogProb:-8.161389062587336
Palabra:alerts Frec:6 LogProb:-10.326352777705333
Palabra:aliens Frec:4 LogProb:-10.662825014326547
Palabra:align Frec:1 LogProb:-11.579115746200701
Palabra:alike Frec:6 LogProb:-10.326352777705333
Palabra:alive Frec:15 LogProb:-9.499674204520865
Palabra:allegations Frec:8 LogProb:-10.075038349424426
Palabra:alleged Frec:9 LogProb:-9.9696778337666
Palabra:allegedly Frec:35 LogProb:-8.688743988304537
Palabra:alleging Frec:5 LogProb:-10.480503457532592
Palabra:allergies Frec:11 LogProb:-9.787356276972647
Palabra:alleviate Frec:5 LogProb:-10.480503457532592
Palabra:alliance Frec:5 LogProb:-10.480503457532592
Palabra:allied Frec:3 LogProb:-10.885968565640756
Palabra:allies Frec:7 LogProb:-10.19282138508081
Palabra:allocate Frec:2 LogProb:-11.173650638092537
Palabra:allocated Frec:2 LogProb:-11.173650638092537
Palabra:allowance Frec:5 LogProb:-10.480503457532592
Palabra:allowed Frec:71 LogProb:-7.995596807744591
Palabra:allowing Frec:49 LogProb:-8.3602399213325
Palabra:aloe Frec:3 LogProb:-10.885968565640756
Palabra:alongside Frec:6 LogProb:-10.326352777705333
Palabra:alphabet Frec:3 LogProb:-10.885968565640756
