Numero de documentos (tweets) del corpus :18046
Número de palabras del corpus:223478
Palabra:appointments Frec:6 LogProb:-10.447923399831591
Palabra:appreciated Frec:42 LogProb:-8.632633433193343
Palabra:appreciation Frec:32 LogProb:-8.897325987420425
Palabra:approach Frec:30 LogProb:-8.959846344401758
Palabra:approaches Frec:5 LogProb:-10.60207407965885
Palabra:appropriately Frec:7 LogProb:-10.314392007207069
Palabra:approval Frec:13 LogProb:-9.754776219271646
Palabra:approve Frec:11 LogProb:-9.908926899098905
Palabra:approved Frec:61 LogProb:-8.266699163841814
Palabra:approx Frec:4 LogProb:-10.784395636452805
Palabra:approximately Frec:7 LogProb:-10.314392007207069
Palabra:apps Frec:37 LogProb:-8.756247389160519
Palabra:area Frec:122 LogProb:-7.581649193514488
Palabra:areas Frec:54 LogProb:-8.386500363654434
Palabra:argue Frec:4 LogProb:-10.784395636452805
Palabra:argues Frec:5 LogProb:-10.60207407965885
Palabra:arguing Frec:4 LogProb:-10.784395636452805
Palabra:argument Frec:4 LogProb:-10.784395636452805
Palabra:arguments Frec:4 LogProb:-10.784395636452805
Palabra:arising Frec:5 LogProb:-10.60207407965885
Palabra:arm Frec:8 LogProb:-10.196608971550685
Palabra:armed Frec:7 LogProb:-10.314392007207069
Palabra:arms Frec:10 LogProb:-9.995938276088534
Palabra:army Frec:20 LogProb:-9.349311111163482
Palabra:arrange Frec:6 LogProb:-10.447923399831591
Palabra:arrangements Frec:9 LogProb:-10.09124845589286
Palabra:arrest Frec:3 LogProb:-11.007539187767014
Palabra:arrested Frec:4 LogProb:-10.784395636452805
Palabra:arrival Frec:4 LogProb:-10.784395636452805
Palabra:arrive Frec:10 LogProb:-9.995938276088534
Palabra:arrived Frec:15 LogProb:-9.621244826647123
Palabra:arrives Frec:4 LogProb:-10.784395636452805
Palabra:arriving Frec:7 LogProb:-10.314392007207069
Palabra:arrows Frec:5 LogProb:-10.60207407965885
Palabra:art Frec:23 LogProb:-9.21577971853896
Palabra:arthritis Frec:4 LogProb:-10.784395636452805
Palabra:article Frec:135 LogProb:-7.481178663150852
Palabra:articles Frec:16 LogProb:-9.560620204830688
Palabra:artificial Frec:7 LogProb:-10.314392007207069
Palabra:artificially Frec:6 LogProb:-10.447923399831591
Palabra:artist Frec:12 LogProb:-9.828884191425368
Palabra:artists Frec:13 LogProb:-9.754776219271646
Palabra:arts Frec:5 LogProb:-10.60207407965885
Palabra:asap Frec:21 LogProb:-9.302791095528589
Palabra:ashamed Frec:8 LogProb:-10.196608971550685
Palabra:asked Frec:88 LogProb:-7.905197179154765
Palabra:asks Frec:13 LogProb:-9.754776219271646
Palabra:aspect Frec:4 LogProb:-10.784395636452805
Palabra:aspects Frec:8 LogProb:-10.196608971550685
Palabra:ass Frec:19 LogProb:-9.398101275332914
Palabra:asses Frec:4 LogProb:-10.784395636452805
Palabra:assess Frec:9 LogProb:-10.09124845589286
Palabra:assessing Frec:2 LogProb:-11.295221260218796
Palabra:assessment Frec:8 LogProb:-10.196608971550685
Palabra:asset Frec:36 LogProb:-8.78291563624268
Palabra:assets Frec:15 LogProb:-9.621244826647123
Palabra:asshole Frec:10 LogProb:-9.995938276088534
Palabra:assholes Frec:3 LogProb:-11.007539187767014
Palabra:assignments Frec:6 LogProb:-10.447923399831591
Palabra:assist Frec:27 LogProb:-9.0616290387117
Palabra:assistance Frec:68 LogProb:-8.159727044289646
Palabra:assistant Frec:12 LogProb:-9.828884191425368
Palabra:assistants Frec:9 LogProb:-10.09124845589286
Palabra:assisting Frec:4 LogProb:-10.784395636452805
Palabra:associate Frec:8 LogProb:-10.196608971550685
Palabra:associates Frec:27 LogProb:-9.0616290387117
Palabra:association Frec:24 LogProb:-9.174957724018704
Palabra:assume Frec:13 LogProb:-9.754776219271646
Palabra:assuming Frec:4 LogProb:-10.784395636452805
Palabra:assumptions Frec:3 LogProb:-11.007539187767014
Palabra:assure Frec:18 LogProb:-9.449394569720464
Palabra:assured Frec:19 LogProb:-9.398101275332914
Palabra:assures Frec:7 LogProb:-10.314392007207069
